入国時年齢,性別,職種関係,職種,所在地(実習先)(都道府県),所在地(実習先)(市区町村),派遣会社,学校所属,組合,所属機関,失踪の有無
27.0,男,その他,溶接,大阪府,堺市,"MYANMAR UNITED SK CO.,LTD",パティン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
18.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,石巻市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,石巻市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
27.0,男,その他,介護,栃木県,鹿沼市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,"㈱ビザアシスト
(アシスト国際)",MAY KINN SAN COMPANY LIMITED,0
20.0,女,その他,介護,栃木県,鹿沼市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,"㈱ビザアシスト
(アシスト国際)",MAY KINN SAN COMPANY LIMITED,0
21.0,男,移行対象外,物流倉庫管理,神奈川県,川崎市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
23.0,男,移行対象外,物流倉庫管理,神奈川県,川崎市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
25.0,男,移行対象外,物流倉庫管理,神奈川県,川崎市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,男,移行対象外,物流倉庫管理,神奈川県,川崎市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
27.0,男,建設関係,建設機械施工,千葉県,八千代市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
26.0,男,建設関係,建設機械施工,千葉県,八千代市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
20.0,女,その他,介護,鹿児島県,鹿児島市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,オアシス福祉人材協同組合,MAY KINN SAN COMPANY LIMITED,0
23.0,女,その他,介護,鹿児島県,鹿児島市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,オアシス福祉人材協同組合,MAY KINN SAN COMPANY LIMITED,0
22.0,女,その他,介護,東京都,台東区,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,オアシス福祉人材協同組合,MAY KINN SAN COMPANY LIMITED,0
26.0,女,その他,介護,鹿児島県,鹿児島市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,オアシス福祉人材協同組合,MAY KINN SAN COMPANY LIMITED,0
24.0,女,その他,介護,鹿児島県,鹿児島市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,オアシス福祉人材協同組合,MAY KINN SAN COMPANY LIMITED,0
25.0,女,その他,介護,鹿児島県,鹿児島市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,オアシス福祉人材協同組合,MAY KINN SAN COMPANY LIMITED,0
24.0,女,その他,介護,鹿児島県,鹿児島市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,オアシス福祉人材協同組合,MAY KINN SAN COMPANY LIMITED,0
23.0,女,その他,介護,鹿児島県,鹿児島市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,オアシス福祉人材協同組合,MAY KINN SAN COMPANY LIMITED,0
19.0,女,農業・林業関係,耕種農業,青森県,六ヶ所村,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,三陸アシスト協同組合,MAY KINN SAN COMPANY LIMITED,0
20.0,女,農業・林業関係,耕種農業,青森県,六ヶ所村,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,三陸アシスト協同組合,MAY KINN SAN COMPANY LIMITED,0
18.0,男,農業・林業関係,耕種農業,青森県,六ヶ所村,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,三陸アシスト協同組合,MAY KINN SAN COMPANY LIMITED,0
